

=== update_days = 60 ===

-- entry=0.1, exit=0.1 --
        mean       vol    sharpe  hit_rate  turnover  Holding Time train_start  train_end test_start   test_end
18 -0.049215  0.160641 -0.306367  0.517808  0.124581    240.806897  2020-12-16 2022-12-15 2022-12-16 2023-12-15
19 -0.062327  0.160369 -0.388649  0.473973  0.123341    243.228944  2021-02-14 2023-02-13 2023-02-14 2024-02-13
20  0.177606  0.159934  1.110493  0.510929  0.115926    258.786574  2021-04-15 2023-04-14 2023-04-15 2024-04-14
21 -0.011179  0.104057 -0.107432  0.502732  0.097641    307.248949  2021-06-14 2023-06-13 2023-06-14 2024-06-13
22 -0.035342  0.107886 -0.327584  0.510929  0.104332    287.544582  2021-08-13 2023-08-12 2023-08-13 2024-08-12

-- entry=0.1, exit=0.7 --
        mean       vol    sharpe  hit_rate  turnover  Holding Time train_start  train_end test_start   test_end
0   0.061397  0.211455  0.290356  0.465995  0.122645    244.608105  2018-01-01 2019-12-31 2020-01-01 2020-12-31
1   0.094717  0.266585  0.355296  0.446970  0.127323    235.621663  2018-03-02 2020-03-01 2020-03-02 2021-03-01
2  -0.267068  0.259053 -1.030937  0.460274  0.134095    223.722626  2018-05-01 2020-04-30 2020-05-01 2021-04-30
3   0.265511  0.270390  0.981957  0.550685  0.146324    205.025086  2018-06-30 2020-06-29 2020-06-30 2021-06-29
4  -0.054520  0.273260 -0.199517  0.523288  0.159436    188.162893  2018-08-29 2020-08-28 2020-08-29 2021-08-28
5   0.794080  0.355220  2.235463  0.545205  0.184309    162.769902  2018-10-28 2020-10-27 2020-10-28 2021-10-27
6   0.466789  0.412551  1.131470  0.534247  0.242681    123.618927  2018-12-27 2020-12-26 2020-12-27 2021-12-26
7   0.074893  0.235491  0.318031  0.534247  0.169749    176.731404  2019-02-25 2021-02-24 2021-02-25 2022-02-24
8   0.174188  0.229187  0.760023  0.526027  0.156908    191.194888  2019-04-26 2021-04-25 2021-04-26 2022-04-25
9   0.299652  0.240531  1.245795  0.517808  0.153850    194.994825  2019-06-25 2021-06-24 2021-06-25 2022-06-24
10  0.350146  0.313906  1.115449  0.504110  0.146471    204.818863  2019-08-24 2021-08-23 2021-08-24 2022-08-23
11 -0.016467  0.167328 -0.098413  0.449495  0.127507    235.280584  2019-10-23 2021-10-22 2021-10-23 2022-10-22
